Date,Open,High,Low,Close,Adj Close,Volume,Label
8/8/2016,18541.89063,18569.31055,18502.0293,18529.28906,18529.28906,71810000,0
8/5/2016,18402.80078,18543.5293,18402.80078,18543.5293,18543.5293,92420000,1
8/4/2016,18351.42969,18397.86914,18325.16992,18352.05078,18352.05078,64500000,1
8/3/2016,18313.08008,18355,18283.23047,18355,18355,78550000,1
8/2/2016,18401.15039,18403.65039,18247.78906,18313.76953,18313.76953,89680000,0
8/1/2016,18434.5,18467.0293,18355.75,18404.50977,18404.50977,83470000,0
7/29/2016,18442.51953,18466.55078,18371.11914,18432.24023,18432.24023,111550000,0
7/28/2016,18461.00977,18483.25977,18368.82031,18456.34961,18456.34961,85750000,0
7/27/2016,18473.26953,18542.39063,18430.93945,18472.16992,18472.16992,111370000,0
7/26/2016,18497.36914,18522.4707,18387.2207,18473.75,18473.75,85370000,0
7/25/2016,18554.49023,18555.68945,18452.61914,18493.06055,18493.06055,76810000,0
7/22/2016,18524.15039,18571.30078,18491.58984,18570.84961,18570.84961,87710000,1
7/21/2016,18589.96094,18590.43945,18469.66992,18517.23047,18517.23047,86800000,0
7/20/2016,18582.69922,18622.00977,18555.65039,18595.0293,18595.0293,93230000,1
7/19/2016,18503.11914,18562.5293,18495.10938,18559.00977,18559.00977,85840000,1
7/18/2016,18521.55078,18556.13086,18489.83984,18533.05078,18533.05078,75540000,1
7/15/2016,18508.88086,18557.42969,18471.61914,18516.55078,18516.55078,123690000,1
7/14/2016,18414.30078,18537.57031,18414.30078,18506.41016,18506.41016,87050000,1
7/13/2016,18356.7793,18390.16016,18315.75977,18372.11914,18372.11914,80920000,1
7/12/2016,18259.11914,18371.94922,18259.11914,18347.66992,18347.66992,90170000,1
7/11/2016,18161.5293,18283.90039,18161.5293,18226.92969,18226.92969,80880000,1
7/8/2016,17971.2207,18166.76953,17971.2207,18146.74023,18146.74023,93460000,1
7/7/2016,17924.24023,17984.94922,17816.65039,17895.88086,17895.88086,81570000,0
7/6/2016,17807.4707,17926.91016,17713.44922,17918.61914,17918.61914,93000000,1
7/5/2016,17904.44922,17904.44922,17785.2793,17840.61914,17840.61914,103650000,0
7/1/2016,17924.24023,18002.38086,17916.91016,17949.36914,17949.36914,82160000,1
6/30/2016,17712.75977,17930.60938,17711.80078,17929.99023,17929.99023,133030000,1
6/29/2016,17456.01953,17704.50977,17456.01953,17694.67969,17694.67969,106380000,1
6/28/2016,17190.50977,17409.7207,17190.50977,17409.7207,17409.7207,112190000,1
6/27/2016,17355.21094,17355.21094,17063.08008,17140.24023,17140.24023,138740000,0
6/24/2016,17946.63086,17946.63086,17356.33984,17400.75,17400.75,239000000,0
6/23/2016,17844.10938,18011.07031,17844.10938,18011.07031,18011.07031,98070000,1
6/22/2016,17832.66992,17920.16016,17770.35938,17780.83008,17780.83008,89440000,0
6/21/2016,17827.33008,17877.83984,17799.80078,17829.73047,17829.73047,85130000,1
6/20/2016,17736.86914,17946.35938,17736.86914,17804.86914,17804.86914,99380000,1
6/17/2016,17733.43945,17733.43945,17602.7793,17675.16016,17675.16016,248680000,0
6/16/2016,17602.23047,17754.91016,17471.28906,17733.09961,17733.09961,91950000,1
6/15/2016,17703.65039,17762.96094,17629.00977,17640.16992,17640.16992,94130000,0
6/14/2016,17710.76953,17733.91992,17595.78906,17674.82031,17674.82031,93740000,0
6/13/2016,17830.5,17893.2793,17731.34961,17732.48047,17732.48047,101690000,0
6/10/2016,17938.82031,17938.82031,17812.33984,17865.33984,17865.33984,90540000,0
6/9/2016,17969.98047,18005.2207,17915.88086,17985.18945,17985.18945,69690000,1
6/8/2016,17931.91016,18016,17931.91016,18005.05078,18005.05078,71260000,1
6/7/2016,17936.2207,18003.23047,17936.2207,17938.2793,17938.2793,78750000,1
6/6/2016,17825.68945,17949.67969,17822.81055,17920.33008,17920.33008,71870000,1
6/3/2016,17799.80078,17833.16992,17689.67969,17807.06055,17807.06055,82270000,1
6/2/2016,17789.05078,17838.56055,17703.55078,17838.56055,17838.56055,75560000,1
6/1/2016,17754.55078,17809.17969,17664.78906,17789.66992,17789.66992,78530000,1
5/31/2016,17891.5,17899.24023,17724.0293,17787.19922,17787.19922,147390000,0
5/27/2016,17826.84961,17873.2207,17824.73047,17873.2207,17873.2207,73190000,1
5/26/2016,17859.51953,17888.66016,17803.82031,17828.28906,17828.28906,68940000,0
5/25/2016,17735.08984,17891.71094,17735.08984,17851.50977,17851.50977,79180000,1
5/24/2016,17525.18945,17742.58984,17525.18945,17706.05078,17706.05078,86480000,1
5/23/2016,17507.03906,17550.69922,17480.05078,17492.92969,17492.92969,87790000,0
5/20/2016,17437.32031,17571.75,17437.32031,17500.93945,17500.93945,111990000,1
5/19/2016,17514.16016,17514.16016,17331.07031,17435.40039,17435.40039,95530000,0
5/18/2016,17501.2793,17636.2207,17418.21094,17526.61914,17526.61914,79120000,1
5/17/2016,17701.46094,17701.46094,17469.91992,17529.98047,17529.98047,103260000,0
5/16/2016,17531.75977,17755.80078,17531.75977,17710.71094,17710.71094,88440000,1
5/13/2016,17711.11914,17734.74023,17512.48047,17535.32031,17535.32031,86640000,0
5/12/2016,17711.11914,17798.18945,17625.38086,17720.5,17720.5,88560000,1
5/11/2016,17919.0293,17919.0293,17711.05078,17711.11914,17711.11914,87390000,0
5/10/2016,17726.66016,17934.60938,17726.66016,17928.34961,17928.34961,75790000,1
5/9/2016,17743.84961,17783.16016,17668.38086,17705.91016,17705.91016,85590000,0
5/6/2016,17650.30078,17744.53906,17580.38086,17740.63086,17740.63086,80020000,1
5/5/2016,17664.48047,17736.10938,17615.82031,17660.71094,17660.71094,81530000,0
5/4/2016,17735.01953,17738.06055,17609.00977,17651.25977,17651.25977,95020000,0
5/3/2016,17870.75,17870.75,17670.88086,17750.91016,17750.91016,97060000,0
5/2/2016,17783.7793,17912.34961,17773.71094,17891.16016,17891.16016,80100000,1
4/29/2016,17813.08984,17814.83008,17651.98047,17773.64063,17773.64063,136670000,0
4/28/2016,18023.88086,18035.73047,17796.55078,17830.75977,17830.75977,100920000,0
4/27/2016,17996.14063,18084.66016,17920.25977,18041.55078,18041.55078,109090000,1
4/26/2016,17987.38086,18043.76953,17934.16992,17990.32031,17990.32031,92570000,1
4/25/2016,17990.93945,17990.93945,17855.55078,17977.24023,17977.24023,83770000,0
4/22/2016,17985.05078,18026.84961,17909.89063,18003.75,18003.75,134120000,1
4/21/2016,18092.83984,18107.28906,17963.89063,17982.51953,17982.51953,102720000,0
4/20/2016,18059.49023,18167.63086,18031.21094,18096.26953,18096.26953,100210000,1
4/19/2016,18012.09961,18103.46094,17984.42969,18053.59961,18053.59961,89820000,1
4/18/2016,17890.19922,18009.5293,17848.2207,18004.16016,18004.16016,89390000,1
4/15/2016,17925.94922,17937.65039,17867.41016,17897.46094,17897.46094,118160000,0
4/14/2016,17912.25,17962.14063,17885.43945,17926.42969,17926.42969,84510000,1
4/13/2016,17741.66016,17918.34961,17741.66016,17908.2793,17908.2793,91710000,1
4/12/2016,17571.33984,17744.42969,17553.57031,17721.25,17721.25,81020000,1
4/11/2016,17586.48047,17731.63086,17555.90039,17556.41016,17556.41016,107100000,0
4/8/2016,17555.39063,17694.50977,17528.16016,17576.96094,17576.96094,79990000,1
4/7/2016,17687.2793,17687.2793,17484.23047,17541.96094,17541.96094,90120000,0
4/6/2016,17605.44922,17723.55078,17542.53906,17716.05078,17716.05078,99410000,1
4/5/2016,17718.0293,17718.0293,17579.56055,17603.32031,17603.32031,115230000,0
4/4/2016,17799.39063,17806.38086,17710.66992,17737,17737,85230000,0
4/1/2016,17661.74023,17811.48047,17568.01953,17792.75,17792.75,104890000,1
3/31/2016,17716.05078,17755.69922,17669.7207,17685.08984,17685.08984,102600000,0
3/30/2016,17652.35938,17790.10938,17652.35938,17716.66016,17716.66016,79330000,1
3/29/2016,17512.58008,17642.81055,17434.26953,17633.10938,17633.10938,86160000,1
3/28/2016,17526.08008,17583.81055,17493.0293,17535.39063,17535.39063,70460000,1
3/24/2016,17485.33008,17517.14063,17399.00977,17515.73047,17515.73047,84100000,1
3/23/2016,17588.81055,17588.81055,17486.26953,17502.58984,17502.58984,84240000,0
3/22/2016,17602.71094,17648.93945,17540.41992,17582.57031,17582.57031,95450000,0
3/21/2016,17589.69922,17644.9707,17551.2793,17623.86914,17623.86914,84410000,1
3/18/2016,17481.49023,17620.58008,17481.49023,17602.30078,17602.30078,321230000,1
3/17/2016,17321.38086,17529.00977,17297.65039,17481.49023,17481.49023,117990000,1
